question,intent_recommend_budget,intent_recommend_usage,intent_tech_detail
Cấu hình RAM máy là 8GB + 8GB tặng hay 16GB tặng thêm 8GB?,0,0,1
Có nâng cấp tối đa RAM 32GB không? Giá bao nhiêu?,1,0,1
Máy nào tầm giá dưới 15-16 triệu chơi game?,1,1,0
Laptop Gaming Acer Nitro V ANV15-51-58AN khi mua có được tặng thêm RAM không hay phải mua riêng?,0,0,1
Máy có MUX switch không?,0,0,1
Dòng này sản xuất năm bao nhiêu?,0,0,1
Cách đổi màu bàn phím và tăng độ sáng bàn phím như thế nào?,0,0,1
mua Mac cài Windows hết bao nhiêu tiền?,1,0,0
"Macbook Air M2 16/256GB màu bạc, vàng, xám giá sinh viên tại Hà Nội bao nhiêu?",1,0,0
MacBook Air M2 16GB RAM 256GB màu bạc giá bao nhiêu?,1,0,0
Giá Macbook Air M2 16GB RAM 256GB màu xám khi thanh toán qua VNPAY là bao nhiêu?,1,0,0
Với ngân sách 6 triệu có mua trả góp được không?,1,0,0
"Macbook M2 hoặc M3, 512GB hoặc 256GB, 16GB RAM thì giá khoảng bao nhiêu?",1,0,0
MacBook M2 có cài sẵn Microsoft Office không hay phải mua thêm?,0,0,1
"Cấu hình laptop 2024 có khác các mẫu cũ không, hay chỉ khác năm sản xuất?",0,0,1
Có giá học sinh sinh viên không?,1,0,0
Mac Air M2 có chạy mượt after effects không?,0,1,0
GPU của máy này là 8 hay 10 nhân?,0,0,1
MacBook Air 2015 nâng cấp lên M4 giá bao nhiêu?,1,0,0
giá lên đời từ mac pro m1 ram 8 bộ nhớ 256 là bao nhiêu?,1,0,0
Macbook M2 lên đời giá bao nhiêu?,1,0,0
MacBook Air M2 16GB RAM lên MacBook Air M4 16GB RAM 256GB thì thêm bao nhiêu tiền?,1,0,1
Có Mac Mini M1 16GB 256GB không?,0,0,1
Máy này gắn sẵn 1 thanh RAM 16GB hay 2 thanh 8GB?,0,0,1
Mẫu này có 2 khe SO-DIMM (nâng cấp tối đa 32GB) có chạy được 2 thanh 8GB và hỗ trợ dual channel không?,0,0,1
laptop này sản xuất năm nào,0,0,1
Macbook Air M3 còn màu xám không?,0,0,1
MacBook Air M3 13 inch 2024 8CPU 8GPU 16GB - 256GB hoặc MacBook Air M2 2024 8CPU 8GPU 16GB 256GB có hỗ trợ cài Microsoft Office miễn phí không?,0,0,1
MacBook Air M3 13 inch 2024 8CPU 8GPU 16GB - 256GB giá sau khuyến mãi còn lại bao nhiêu?,1,0,0
MacBook Air M3 16GB RAM 256GB SSD 13 inch bù thêm bao nhiêu tiền so với MacBook Air M3 8GB RAM 256GB SSD 13 inch?,1,0,1
MacBook Air M3 RAM 16GB SSD 256GB giá bao nhiêu và có Office miễn phí không?,1,0,1
Macbook Air M3 16GB-256GB hay Macbook Pro M2 8GB-256GB tối ưu hơn?,0,1,1
Mac Air M3 16-256 giá bao nhiêu?,1,0,0
"Pin tụt nhanh khi xem phim lướt web, có ổn không?",0,0,1
Máy này ra đời năm nào,0,0,1
Thông tin chi tiết về card đồ họa của Laptop Acer Aspire Lite AL16-51P-55N7 NX.KX0SV.001 I5-1235U/16GB/512GB PCIE/16.0 WUXGA/WIN11/XÁM,0,0,1
Máy này có đèn bàn phím không?,0,0,1
Có vẽ AutoCAD 2D ổn không?,0,1,0
Máy này chạy AutoCAD 2022 và SolidWorks được không?,0,1,1
Mẫu này có nâng cấp được RAM không?,0,0,1
Máy này có nâng được thêm SSD không?,0,0,1
Laptop này có phù hợp cho ngành tự động hóa không?,0,1,0
Thời gian sử dụng pin của máy khoảng bao lâu?,0,0,1
Khi mua có cài Office 365 không?,0,0,1
laptop có phù hợp cho việc học đại học và chơi game FO4 không?,0,1,0
Thời lượng pin sử dụng được bao lâu?,0,0,1
Máy này có đèn nền bàn phím không?,0,0,1
Chất liệu là nhựa hay kim loại?,0,0,1
Bản 12500H có màu đen không,0,0,1
Máy này có gắn thêm RAM 16GB không?,0,0,1
Bản i5-13500H có màu bạc không?,0,0,1
Nâng ổ cứng lên 1TB được không?,0,0,1
