question,intent_recommend_budget,intent_recommend_usage,intent_tech_detail
MacBook Pro 16 M4 Max có phù hợp cho đồ họa chuyên nghiệp với ngân sách 90 triệu không?,1,1,0
Cần tìm laptop văn phòng dưới 15 triệu có cấu hình RAM 16GB và màn hình 15.6 inch.,1,1,1
Mac mini M2 2023 có đủ cho nhu cầu học tập và văn phòng không?,0,1,0
Giá của iMac M3 24 inch 16GB là bao nhiêu?,1,0,0
Laptop Dell Inspiron 15 3520 có màn hình tần số quét 120Hz không?,0,0,1
Tìm laptop gaming tầm giá 20-25 triệu với CPU mạnh mẽ.,1,1,0
MacBook Pro 16 M4 Max có card đồ họa tích hợp hay rời?,0,0,1
Laptop nào có trọng lượng dưới 2kg và phù hợp cho việc di chuyển nhiều?,0,1,0
Ngân sách 30 triệu có mua được laptop cấu hình cao cho lập trình không?,1,1,0
Cấu hình chip M4 Max trên MacBook Pro 16 có bao nhiêu nhân CPU và GPU?,0,0,1
MacBook Pro 16 M4 Max có phù hợp cho chỉnh sửa video 4K không?,0,1,0
So sánh hiệu năng CPU M3 và M4 Max của Apple.,0,0,1
"Laptop nào có giá dưới 17 triệu, RAM 16GB và màn hình 120Hz cho nhu cầu văn phòng?",1,1,1
iMac M3 24 inch có phù hợp cho công việc thiết kế đồ họa cơ bản không?,0,1,0
Mac mini M2 2023 có dung lượng lưu trữ 512GB có đủ dùng cho lập trình không?,0,1,0
Laptop nào có màn hình 16.2 inch và tần số quét 120Hz trong tầm giá 70-80 triệu?,1,0,1
Tìm laptop mỏng nhẹ cho sinh viên dưới 20 triệu.,1,1,0
"Cần laptop cấu hình Intel Core i5, RAM 16GB, SSD 512GB cho công việc văn phòng.",0,1,1
MacBook Pro 16 M4 Max có 36GB RAM có đáp ứng tốt cho các tác vụ sáng tạo nội dung không?,0,1,0
Laptop nào có trọng lượng 1.66kg và giá khoảng 16.5 triệu đồng?,1,0,0
Có laptop nào dưới 20 triệu đồng cho nhu cầu đồ họa và thiết kế không?,1,1,0
MacBook Pro 14 inch M4 có tần số quét màn hình bao nhiêu?,0,0,1
"Laptop nào mỏng nhẹ, sang trọng và có giá dưới 30 triệu?",1,1,0
"Cần laptop cấu hình mạnh cho sáng tạo nội dung, ngân sách khoảng 40 triệu?",1,1,0
Laptop Dell Inspiron 14 5440 có trọng lượng bao nhiêu?,0,0,1
"Tìm laptop văn phòng, học tập có dung lượng lưu trữ 1TB và giá dưới 25 triệu.",1,1,0
MacBook Air 15 inch M4 có bao nhiêu GB RAM và bộ nhớ trong?,0,0,1
"Laptop nào phù hợp cho công việc kỹ thuật, yêu cầu card đồ họa rời và giá dưới 50 triệu?",1,1,0
ASUS ExpertBook P5 có tần số quét màn hình là bao nhiêu?,0,0,1
"Laptop nào có thiết kế cao cấp, sang trọng và giá trên 45 triệu?",1,1,0
MacBook Pro 16 M4 Max có bao nhiêu nhân CPU và GPU?,0,0,1
"Nhu cầu học tập, văn phòng với ngân sách 15 triệu nên chọn loại laptop nào?",1,1,0
"Laptop nào có màn hình 14 inch, tần số quét 144Hz và giá dưới 35 triệu?",1,0,1
Tìm laptop sáng tạo nội dung với RAM 32GB và giá dưới 40 triệu.,1,1,0
Laptop nào có CPU Core 7 150U và giá khoảng 25 triệu?,1,0,1
Có laptop nào dưới 30 triệu cho nhu cầu gaming và đồ họa không?,1,1,0
MacBook Pro 14 inch M4 có card đồ họa tích hợp hay rời?,0,0,1
"Yêu cầu laptop mỏng nhẹ, sang trọng, giá dưới 50 triệu có những lựa chọn nào?",1,1,0
